"X","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone"
1,1,1,18,3,2,1049,1,1,4,1,1,4,2,21,2,1,1,2,1,1
2,1,1,9,3,4,2799,1,2,2,2,1,2,1,36,2,1,2,2,2,1
4,1,1,12,3,4,2122,1,2,3,2,1,2,1,39,2,1,2,1,2,1
5,1,1,12,3,4,2171,1,2,4,2,1,4,2,38,1,2,2,1,1,1
6,1,1,10,3,4,2241,1,1,1,2,1,3,1,48,2,1,2,1,2,1
7,1,1,8,3,4,3398,1,3,1,2,1,4,1,39,2,2,2,1,1,1
9,1,3,18,3,3,1098,1,1,4,1,1,4,3,65,2,2,2,1,1,1
10,1,2,24,2,3,3758,3,1,1,1,1,4,4,23,2,1,1,1,1,1
12,1,1,30,3,1,6187,2,3,1,3,1,4,3,24,2,1,2,2,1,1
13,1,1,6,3,3,1957,1,3,1,1,1,4,3,31,2,2,1,2,1,1
15,1,1,18,2,3,1936,4,3,2,3,1,4,3,23,2,1,2,1,1,1
16,1,1,6,2,3,2647,3,2,2,2,1,3,1,44,2,1,1,2,2,1
18,1,2,18,2,3,3213,3,1,1,3,1,3,1,25,2,1,1,2,1,1
19,1,2,36,3,3,2337,1,4,4,2,1,4,1,36,2,2,1,2,1,1
21,1,1,6,3,4,3676,1,2,1,2,1,3,1,37,2,1,2,2,2,1
24,1,2,12,3,3,1424,1,3,4,2,1,3,2,26,2,2,1,2,1,1
25,1,1,6,3,4,4716,4,1,1,2,1,3,1,44,2,2,2,1,2,1
26,1,2,11,3,3,4771,1,3,2,2,1,4,2,51,2,2,1,2,1,1
27,1,1,12,2,2,652,1,4,4,1,1,4,2,24,2,1,1,2,1,1
29,1,3,15,2,4,3556,4,2,3,2,1,2,4,29,2,2,1,2,1,1
32,1,3,36,3,4,3535,1,3,4,2,1,4,3,37,2,2,2,2,1,2
34,1,3,24,2,3,1376,3,3,4,1,1,1,3,28,2,2,1,2,1,1
35,1,1,15,2,4,1721,1,1,2,2,1,3,1,36,2,2,1,2,1,1
37,1,3,12,3,4,1495,1,4,4,2,1,1,1,38,2,2,2,1,2,1
40,1,3,24,3,1,3868,1,4,4,1,1,2,3,41,2,1,2,2,1,2
41,1,3,12,3,3,996,4,3,4,1,1,4,1,23,2,2,2,2,1,1
43,1,3,18,3,4,1028,1,2,4,1,1,3,1,36,2,2,2,2,1,1
45,1,2,18,2,3,1239,4,2,4,2,1,4,4,61,2,3,1,2,1,1
46,0,1,18,2,4,1216,1,1,4,1,1,3,3,23,2,1,1,2,1,2
50,1,1,24,3,4,1382,2,3,4,2,1,1,1,26,2,2,2,2,1,2
52,1,3,36,2,3,3919,1,2,2,2,1,2,1,23,2,2,1,2,1,2
53,1,3,9,3,4,1224,1,2,3,2,1,1,1,30,2,2,2,2,1,1
55,1,3,24,2,1,6313,4,4,3,2,1,4,3,41,2,2,1,2,2,2
58,1,1,15,2,3,1053,1,1,4,3,1,2,1,27,2,2,1,2,1,1
60,1,3,36,2,4,3079,4,2,4,2,1,4,1,36,2,2,1,2,1,1
61,1,3,12,3,4,1163,3,2,4,2,1,4,1,44,2,2,1,2,1,2
62,1,3,24,2,1,2679,1,1,4,1,1,1,4,29,2,2,1,2,1,2
63,1,3,48,3,3,3578,4,4,4,2,1,1,1,47,2,2,1,2,1,2
64,1,3,36,3,4,10875,1,4,2,2,1,2,3,45,2,2,2,2,2,2
65,1,1,12,3,4,1344,1,2,4,2,1,2,1,43,2,2,2,1,2,1
67,1,3,12,2,3,3077,1,2,2,2,1,4,3,52,2,2,1,2,1,2
72,1,3,30,2,3,1867,4,4,4,2,1,4,3,58,2,2,1,2,1,2
76,1,2,9,2,2,2030,4,3,2,2,1,1,3,24,2,2,1,2,1,2
77,1,3,21,3,1,3275,1,4,1,2,1,4,3,36,2,2,1,2,1,2
78,1,3,24,3,4,1940,3,4,4,2,1,4,1,60,2,2,1,2,1,2
79,1,1,21,3,4,1602,1,4,4,3,1,3,3,30,2,2,2,2,1,2
82,1,3,36,3,3,3342,4,4,4,2,1,2,3,51,2,2,1,2,1,2
84,1,3,15,3,1,2360,3,2,2,2,1,2,3,36,2,2,1,2,1,2
85,1,3,15,3,2,1520,4,4,4,2,1,4,2,63,2,2,1,2,1,1
91,1,2,12,3,4,1995,2,1,4,2,1,1,3,27,2,2,1,2,1,1
93,1,2,30,1,4,4221,1,2,2,1,1,1,3,28,2,2,2,2,1,1
94,1,1,9,2,3,1364,1,3,3,2,1,4,1,59,2,2,1,2,1,1
95,1,2,18,3,2,6361,1,4,2,2,1,1,4,41,2,2,1,2,1,2
96,1,3,27,3,2,4526,3,1,4,2,1,2,1,32,1,2,2,1,2,2
98,0,2,36,3,4,4455,1,2,2,1,1,2,1,30,1,2,2,2,1,2
101,1,3,24,3,2,3777,3,2,4,2,1,4,1,40,2,2,1,2,1,2
102,1,1,15,2,4,806,1,2,4,1,1,4,2,22,2,2,1,1,1,1
105,1,3,24,3,3,1851,1,3,4,3,2,2,3,33,2,2,2,2,1,2
106,1,3,24,2,4,1393,1,2,2,2,2,2,1,31,2,2,1,2,1,2
108,1,3,18,2,3,1473,1,1,3,3,1,4,1,39,2,2,1,2,1,2
110,1,3,12,3,3,2012,4,3,4,1,1,2,3,61,2,2,1,2,1,1
113,1,2,12,3,4,2366,3,3,3,1,1,3,3,36,2,2,1,2,1,2
117,1,2,9,3,2,1919,1,3,4,2,1,3,3,35,2,1,1,2,1,2
118,1,3,24,2,1,2603,3,2,2,1,1,4,3,28,2,1,1,2,1,2
123,1,2,6,2,3,2063,1,1,4,3,1,3,3,30,2,1,1,2,1,2
125,1,3,15,2,3,1213,3,4,4,2,1,3,2,47,1,2,1,2,1,2
126,1,3,24,3,3,5103,1,1,3,3,1,3,4,47,2,3,2,2,1,2
129,1,3,18,2,4,1820,1,2,2,3,1,2,2,30,2,2,1,2,1,2
132,1,3,18,2,2,2515,1,2,3,2,1,4,1,43,2,2,1,2,1,2
133,1,3,6,2,2,2116,1,2,2,2,1,2,1,41,2,2,1,2,1,2
136,1,3,6,2,2,1543,3,2,4,1,1,2,1,33,2,2,1,2,1,1
137,1,2,12,2,4,1318,3,4,4,2,1,4,1,54,2,2,1,2,1,2
138,1,1,24,1,4,2325,2,3,2,2,1,3,3,32,1,2,1,2,1,1
139,1,2,6,3,4,932,4,3,1,1,1,3,2,39,2,2,2,1,1,1
140,1,3,24,3,3,3148,4,2,3,2,1,2,3,31,2,2,2,2,1,2
142,1,3,9,2,3,3832,4,4,1,2,1,4,1,64,2,2,1,1,1,1
143,1,2,24,2,3,5084,4,4,2,1,1,4,3,42,2,2,1,2,1,2
144,1,3,9,3,2,2406,1,1,2,2,1,3,3,31,2,2,1,2,1,1
148,1,1,12,2,2,1262,4,4,2,1,1,4,2,49,2,2,1,1,1,2
149,1,3,12,2,4,1542,1,3,2,2,1,4,3,36,2,2,1,2,1,2
150,1,2,24,3,3,1743,1,4,4,2,1,2,2,48,2,2,2,1,1,1
152,1,3,12,2,3,2171,1,1,2,1,1,2,3,29,1,2,1,2,1,1
153,1,3,48,3,1,8858,4,3,2,2,1,1,4,35,2,3,2,2,1,2
156,1,3,24,3,3,2684,1,2,4,2,1,2,1,35,2,2,2,1,1,1
157,1,1,12,2,3,1498,1,2,4,1,1,1,3,23,1,2,1,2,1,1
158,1,3,30,3,3,5954,1,3,3,2,2,2,3,38,2,2,1,2,1,1
165,1,3,15,2,3,392,1,1,4,1,1,4,2,23,2,1,1,2,1,2
166,1,3,9,3,4,2134,1,2,4,2,1,4,3,48,2,2,2,2,1,2
167,1,3,30,3,3,5771,1,3,4,1,1,2,3,25,2,2,2,2,1,1
169,1,3,15,3,2,2788,1,3,2,1,2,3,3,24,1,2,2,2,1,1
173,1,3,12,2,3,1297,1,2,3,3,1,4,1,23,2,1,1,2,1,1
176,1,3,24,2,3,3235,3,4,3,1,1,2,3,36,2,2,1,2,1,2
179,1,3,18,2,4,1950,1,3,4,2,1,1,3,34,1,2,2,2,1,2
183,1,1,30,1,4,8072,4,1,2,2,1,3,3,25,1,2,2,2,1,1
184,1,3,30,3,3,2831,1,2,4,1,1,2,3,33,2,2,1,2,1,2
187,1,3,12,2,4,2390,4,4,4,2,1,3,3,50,2,2,1,2,1,2
190,1,3,21,2,4,2923,2,2,1,1,1,1,3,28,1,2,1,2,1,2
191,1,3,24,2,3,1901,2,2,4,2,1,4,3,29,2,1,1,2,1,2
193,1,2,48,2,4,8487,4,3,1,1,1,2,3,24,2,2,1,2,1,1
194,1,3,24,2,4,2255,4,1,4,2,1,1,2,54,2,2,1,2,1,1
201,1,3,30,2,3,2333,3,4,4,2,1,2,3,30,1,2,1,2,1,1
202,1,3,28,1,1,7824,4,1,3,2,2,4,1,40,1,1,2,2,2,2
203,1,3,18,1,3,1445,4,3,4,2,1,4,3,49,1,2,1,1,1,1
204,1,1,24,2,2,7721,4,1,1,1,1,2,2,30,2,2,1,2,1,2
205,1,1,21,2,4,3763,4,3,2,2,2,2,1,24,2,2,1,1,1,1
208,1,2,15,2,3,1444,4,1,4,2,1,1,2,23,2,2,1,2,1,1
213,1,1,24,1,2,2483,3,2,4,2,1,4,1,22,1,2,1,2,1,2
214,1,3,6,3,4,1299,1,2,1,2,1,1,1,74,2,2,2,1,2,1
217,1,3,10,2,1,2901,4,1,1,1,1,4,1,31,2,1,1,2,1,1
224,1,3,27,3,1,8613,3,2,2,2,1,2,3,27,2,2,2,2,1,1
225,1,1,18,2,2,2659,3,2,4,2,1,2,3,28,2,2,1,2,1,1
226,1,3,24,3,3,1516,3,2,4,1,1,1,1,43,2,2,2,1,1,1
227,1,1,18,2,4,4380,2,2,3,2,1,4,3,35,2,2,1,1,2,2
229,1,3,21,2,4,1572,3,4,4,1,1,4,1,36,1,2,1,1,1,1
230,1,2,48,1,4,3566,2,3,4,2,1,2,3,30,2,2,1,2,1,1
232,1,3,6,1,3,426,1,4,4,3,1,4,3,39,2,2,1,1,1,1
234,1,1,30,2,1,3857,1,2,4,1,1,4,2,40,2,2,1,2,1,2
235,0,2,12,2,4,685,1,3,2,3,1,3,3,25,1,2,1,1,1,1
237,1,3,21,2,2,2241,1,4,4,2,1,2,1,50,2,2,2,2,1,1
239,1,3,4,2,2,601,1,1,1,1,1,3,1,23,2,1,1,1,2,1
240,1,3,39,2,1,2569,3,2,4,2,1,4,3,24,2,2,1,2,1,1
241,1,3,15,3,3,1316,3,2,2,3,1,2,2,47,2,2,2,1,1,1
242,1,3,60,2,4,10366,1,4,2,2,1,4,2,42,2,2,1,2,1,2
243,1,3,18,2,4,1568,2,2,3,1,1,4,2,24,2,1,1,1,1,1
244,1,3,18,3,3,629,3,4,4,2,1,3,2,32,1,2,2,2,1,2
246,1,3,24,2,1,3488,2,3,3,1,1,4,3,23,2,2,1,2,1,1
252,1,2,18,3,3,6204,1,2,2,2,1,4,1,44,2,2,1,1,2,2
256,1,3,15,2,4,2687,1,3,2,2,1,4,2,26,2,1,1,2,1,2
258,1,3,10,3,2,2146,1,1,1,1,1,3,1,23,2,1,2,2,1,1
259,1,1,10,2,3,2315,1,4,3,2,1,4,1,52,2,2,1,1,1,1
260,1,3,5,2,4,3448,1,3,1,2,1,4,1,74,2,2,1,1,1,1
265,1,3,12,2,3,1493,1,1,4,1,1,3,3,34,2,2,1,2,2,1
266,1,3,22,2,3,2675,3,4,3,2,1,4,3,40,2,2,1,2,1,1
270,1,3,15,1,3,1569,2,4,4,2,1,4,3,34,1,2,1,1,2,1
272,1,3,36,3,2,7678,3,3,2,1,1,4,3,40,2,2,2,2,1,2
273,1,3,6,2,3,660,3,3,2,3,1,4,1,23,2,1,1,1,1,1
274,1,3,24,2,2,2835,3,4,3,2,1,4,2,53,2,2,1,2,1,1
275,1,3,24,2,1,2670,1,4,4,2,1,4,3,35,2,2,1,2,1,2
276,1,3,12,1,4,3447,3,2,4,1,1,3,1,35,2,2,1,1,2,1
277,1,3,15,2,3,3568,1,4,4,1,1,2,3,54,1,1,1,2,1,2
278,1,2,21,3,4,3652,1,3,2,2,1,3,2,27,2,2,2,2,1,1
279,1,1,24,2,3,3660,1,2,2,1,1,4,3,28,2,2,1,2,1,1
280,1,3,9,2,3,1126,2,4,2,1,1,4,1,49,2,2,1,2,1,1
281,1,3,6,3,3,683,1,1,2,1,1,1,2,29,1,2,1,2,1,1
284,1,2,21,3,4,2353,1,2,1,1,1,4,2,47,2,2,2,2,1,1
286,1,3,6,2,4,672,1,1,1,1,1,4,1,54,2,2,1,1,1,2
292,1,3,15,2,2,2221,3,2,2,1,1,4,3,20,2,1,1,2,1,1
293,1,3,6,3,3,1898,4,2,1,2,1,2,1,34,2,2,2,1,2,1
294,1,2,6,3,4,1449,2,4,1,1,1,2,3,31,1,2,2,2,2,1
296,1,3,36,2,1,8133,1,2,1,1,1,2,2,30,1,2,1,2,1,1
301,1,1,12,1,4,339,1,4,4,3,1,1,3,45,1,2,1,1,1,1
303,1,3,24,2,2,3749,1,1,2,1,1,4,3,26,2,2,1,2,1,1
305,0,3,9,2,3,745,1,2,3,1,1,2,1,28,2,2,1,1,1,1
306,1,3,24,2,4,1469,2,4,4,3,1,4,1,41,2,1,1,1,1,1
307,1,1,6,2,2,1374,1,2,1,2,1,2,1,36,1,2,1,1,1,2
308,1,3,6,1,4,783,4,2,1,2,2,2,1,26,1,2,1,1,2,1
310,1,3,54,1,1,9436,4,2,2,2,1,2,2,39,2,2,1,1,2,1
311,1,3,12,3,3,930,4,4,4,2,1,4,1,65,2,2,2,2,1,1
312,1,3,48,3,1,2751,4,4,4,2,1,3,3,38,2,2,2,2,2,2
313,1,3,6,3,4,250,3,2,2,1,1,2,1,41,1,2,2,1,1,1
314,1,2,24,2,4,1201,1,1,4,2,1,1,2,26,2,2,1,2,1,1
315,1,1,6,2,4,662,1,1,3,2,1,4,1,41,2,2,1,1,2,2
318,1,3,12,2,3,3016,1,2,3,3,1,1,3,24,2,2,1,2,1,1
320,1,3,6,1,4,1204,2,2,4,2,1,1,4,35,1,1,1,2,1,1
323,1,3,11,2,4,2142,3,4,1,1,1,2,1,28,2,2,1,2,1,2
324,1,1,10,3,2,2132,4,1,2,1,2,3,1,27,2,1,2,2,1,1
326,1,3,24,3,4,1287,3,4,4,1,1,4,1,37,2,2,2,2,1,2
328,1,3,6,3,4,1343,1,4,1,2,1,4,1,46,2,2,2,2,2,1
335,1,3,24,3,4,717,4,4,4,3,1,4,3,54,2,2,2,2,1,2
337,1,1,9,3,3,1288,2,4,3,2,2,4,1,48,2,2,2,2,2,1
338,1,1,10,3,4,1038,1,3,4,2,2,3,2,49,2,2,2,2,1,2
339,1,3,10,2,1,2848,2,2,1,2,2,2,1,32,2,2,1,2,2,1
340,1,3,12,2,1,1413,3,3,3,2,1,2,2,55,2,2,1,2,1,1
344,1,3,9,2,4,3577,2,2,1,2,2,2,1,26,2,1,1,2,2,1
351,1,3,10,3,2,2069,4,2,2,3,1,1,3,26,2,2,2,2,1,1
355,1,3,6,2,3,1346,2,4,2,2,1,4,4,42,1,3,1,2,2,2
358,1,3,10,3,4,1231,1,4,3,2,1,4,1,32,2,2,2,1,2,1
360,1,3,15,3,4,5045,4,4,1,1,1,4,3,59,2,2,1,2,1,2
361,1,3,12,3,4,1255,1,4,4,2,1,4,1,61,2,2,2,1,1,1
362,1,1,12,2,2,1858,1,1,4,1,1,1,3,22,2,1,1,2,1,1
